title_id,title,language,category,registration_year
T00001,Ahmedabad Awaaz,Urdu,Newspaper,2000
T00002,Ahmedabad Bhaskar,Bengali,Magazine,2007
T00003,Ahmedabad Dainik Namaskar,Marathi,Digest,2003
T00004,Ahmedabad Darpan,Urdu,Digest,2017
T00005,Ahmedabad Express,Hindi,Bulletin,2013
T00006,Ahmedabad Herald,English,Newspaper,2002
T00007,Ahmedabad Indian Express,Gujarati,Magazine,2016
T00008,Ahmedabad Jagran,Punjabi,Newspaper,2017
T00009,Ahmedabad Kesari,Gujarati,Digest,2020
T00010,Ahmedabad News,Malayalam,Journal,2007
T00011,Ahmedabad Patrika,Kannada,Bulletin,2008
T00012,Ahmedabad Post,English,Magazine,2022
T00013,Ahmedabad Prabhat,Telugu,Periodical,2008
T00014,Ahmedabad Prakash,Marathi,Magazine,2024
T00015,Ahmedabad Pratidin Sandhya,Tamil,Newspaper,2002
T00016,Ahmedabad Samachar,Telugu,Newspaper,2011
T00017,Ahmedabad Sandesh,Tamil,Bulletin,2008
T00018,Ahmedabad Sandhya,English,Digest,2014
T00019,Ahmedabad The Hindu,Malayalam,Newspaper,2012
T00020,Ahmedabad Times,Hindi,Bulletin,2009
T00021,Ahmedabad Tribune,Urdu,Bulletin,2011
T00022,Ahmedabad Vartha,Punjabi,Magazine,2022
T00023,Ahmedabad Vichar,Hindi,Newspaper,2021
T00024,Awaaz,Gujarati,Periodical,2002
T00025,Awaaz Bulletin,Gujarati,Newspaper,2012
T00026,Awaaz Daily,Bengali,Journal,2020
T00027,Awaaz Journal,Tamil,Magazine,2011
T00028,Awaaz Live,Tamil,Magazine,2021
T00029,Awaaz Monthly,Bengali,Digest,2021
T00030,Awaaz Report,Urdu,Newspaper,2019
T00031,Awaaz Today,Urdu,Magazine,2017
T00032,Awaaz Update,Gujarati,Magazine,2014
T00033,Awaaz Weekly,Telugu,Periodical,2020
T00034,Bangalore Awaaz,Malayalam,Magazine,2021
T00035,Bangalore Bhaskar,Tamil,Newspaper,2007
T00036,Bangalore Dainik Namaskar,English,Periodical,2012
T00037,Bangalore Darpan,Bengali,Newspaper,2006
T00038,Bangalore Express,Punjabi,Digest,2010
T00039,Bangalore Herald,Gujarati,Digest,2015
T00040,Bangalore Indian Express,Telugu,Digest,2014
T00041,Bangalore Jagran,Marathi,Periodical,2004
T00042,Bangalore Kesari,Gujarati,Digest,2017
T00043,Bangalore News,Malayalam,Periodical,2023
T00044,Bangalore Patrika,Punjabi,Journal,2018
T00045,Bangalore Post,Telugu,Periodical,2007
T00046,Bangalore Prabhat,Marathi,Bulletin,2015
T00047,Bangalore Prakash,Hindi,Newspaper,2003
